No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
83	8960	0.2	3.0405	3.1806	0	20.5726	23.6892	0	8.3455	0	0	0.3651	0.3333	0	0	0	0	0	0
84	50451936	0.0435	4.0103	1.7409	0	27.9181	25.1305	0	6.1954	0	0	0.52	0.4827	0	0	0	0	0	0
85	50451937	0	1.7989	1.1172	0	27.8278	25.9449	0	6.4154	0	0.0556	0.6213	0.4827	0	0	0	0	0	0
86	50451938	0.0476	3.901	1.854	0	23.6416	25.0491	0	6.4154	0	0	0.52	0.4827	0	0	0	0	0	0
87	50451948	0.05	3.8377	1.9197	0	21.5379	24.9686	0	6.5419	0	0	0.52	0.4827	0	0	0	0	0	0
88	50025480	0.5646	2.7567	5.3641	0	4.1574	18.0104	0	11.4564	0	0.1667	1.1611	1.4325	0	0	0	0	0	0
89	50049402	0.2	2.3175	2.9955	0	5.6556	19.0332	0	9.0006	0	0.1667	0.9128	0.6694	0	0	0	0	0	0
90	50451949	0	1.775	1.1244	0	25.6788	25.9324	0	6.5419	0	0.0588	0.6422	0.4827	0	0	0	0	0	0
91	50451950	0	1.8214	1.1104	0	29.9931	25.9399	0	6.3005	0	0.0526	0.6024	0.4827	0	0	0	0	0	0
92	85573	0	1.423	1.1321	0	7.5915	19.1173	0	7.0139	0	0.1667	0.6687	0.1667	0	0	0	0	0	0
93	50451961	0.0455	3.9582	1.7947	0	25.77	25.1007	0	6.3005	0	0	0.52	0.4827	0	0	0	0	0	0
94	50284329	0.2524	5.4177	1.5728	0	11.6998	9.929	0	1.7402	0	0	0	0	0	0	0	2.5428	2.1648	0.25
95	50284331	0.298	4.9064	1.5186	0	9.452	9.4358	0	1.7402	0	0	0	0	0	0	0	2.5428	1.8769	0.1667
96	50284335	0.3259	4.4062	1.809	0	5.9519	8.6591	0	1.7402	0	0	0	0	0	0	0	2.5428	2.1648	0.25
97	50284333	0.0667	3.7907	1.3972	0	18.2607	14.6172	0	2.1537	0	0	0	0	0	0	0	2.5428	2.1648	0.25
98	50284336	0.3112	4.6813	1.6464	0	7.6338	9.1078	0	1.7402	0	0	0	0	0	0	0	2.5428	2.0038	0.2
99	50199522	0.1667	3.3411	3.2245	0.6667	4.6913	14.976	2.7495	5.7283	0	0	0	0	0	0.25	0	0	0	0
100	50284430	0.2714	5.1542	1.6363	0	9.674	9.6136	0	1.7402	0	0	0	0	0	0	0	2.5428	2.1648	0.25
101	50284424	0.0625	3.2864	1.0952	0	11.6194	9.8442	0	1.7402	0	0	0	0	0	0.4667	0.4082	2.5428	2.0038	0.2
102	50284433	0.0667	2.663	1.1622	0	5.9519	8.6591	0	1.7402	0	0	0	0	0	0	0	3.2276	1.7664	0
103	50284339	0.2952	4.8299	1.713	0	7.7373	9.2038	0	1.7402	0	0	0	0	0	0	0	2.5428	2.1648	0.25
104	50284334	0.2952	4.0818	2.4285	0	5.9519	10.4166	0	2.2995	0	0	0	0	0	0	0	2.5428	2.1648	0.25
105	50284332	0.0667	3.1621	1.1622	0	9.674	9.6136	0	1.7402	0	0	0	0	0	0.5166	0.4364	2.5428	2.1648	0.25
106	50284431	0.2714	5.1542	1.6363	0	9.674	9.6136	0	1.7402	0	0	0	0	0	0	0	2.5428	2.1648	0.25
107	50284434	0.0625	2.8014	1.0952	0	7.6338	9.1078	0	1.7402	0	0	0	0	0	0	0	3.0655	1.7019	0
108	50284337	0.2823	5.0665	1.5728	0	9.5703	9.5234	0	1.7402	0	0	0	0	0	0	0	2.5428	2.0038	0.2
109	50284432	0.0588	2.9214	1.0391	0	9.452	9.4358	0	1.7402	0	0	0	0	0	0	0	2.9346	1.651	0
110	50284338	0.0556	3.3085	0.9911	0	13.6931	9.9878	0	1.7402	0	0	0	0	0	0	0	2.5428	2.5376	0.685
111	50199522	0.1667	3.3411	3.2245	0.6667	4.6913	14.976	2.7495	5.7283	0	0	0	0	0	0.25	0	0	0	0
112	50169856	0.59	6.6472	5.8965	0	11.7997	22.8932	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0.3333
113	50248848	0.2	3.0095	3.2866	0	18.3766	24.2194	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
114	50248747	0.2	2.9458	3.2477	0	18.1259	23.492	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
115	50169866	0.2654	4.6428	3.6909	0	14.8104	20.7121	0	8.9759	0	0	0.6694	0.63	0	0	0	0	0	0.3333
116	50169855	0.3347	5.0225	5.1565	0	14.3028	23.5835	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0
117	50248712	0.6428	6.277	4.9052	0	11.4419	22.2245	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
118	50169860	1.3284	5.6235	7.4595	0	5.6916	19.3817	0	10.1036	0	0	0.6694	0.63	0	0	0	0	0	0
119	50169867	0.7394	5.1493	5.3609	0	7.3943	18.7894	0	9.4209	0	0	0.6694	0.63	0	0	0	0	0	0
120	50248784	0.7037	5.6796	5.0634	0	10.032	21.8904	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
121	50169850	0.2	2.6672	3.2477	0	15.1518	20.7121	0	8.9759	0	0	0.6694	0.63	0	0	0	0	0	0
122	50169868	0.2	2.7297	3.2866	0	15.2811	21.3437	0	9.4209	0	0	0.6694	0.63	0	0	0	0	0	0
