No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
176	50490952	530.74	6.8927	49.5801	0.6065	0.6439	1.1333	0.0567	6	17	9	0.1125	5	0	6	3	0	0	0	0	0	9	0	38.961	7.7922	3.8961	0	12	18	0	0.4	6	1	0
177	50490953	552.74	7.1784	50.8187	0.6256	0.66	1.1279	0.0549	5	22	8	0.0988	5	0	6	3	0	0	0	0	0	9	0	41.5584	7.7922	3.8961	0	10	22	0	0.3125	10	1	0
178	50490941	516.71	6.9826	47.8187	0.6105	0.6462	1.1331	0.0583	7	17	7	0.0909	5	0	6	3	0	0	0	0	0	9	0	39.1892	8.1081	4.0541	0	11	18	0	0.3793	6	1	0
179	50490954	516.71	6.9826	47.8187	0.6105	0.6462	1.1331	0.0583	6	17	8	0.1039	5	0	6	3	0	0	0	0	0	9	0	39.1892	8.1081	4.0541	0	11	18	0	0.3793	6	1	0
180	50490955	501.69	6.9679	46.813	0.6132	0.6502	1.1298	0.0601	6	17	7	0.0933	5	0	5	3	0	0	0	0	0	8	0	40.2778	6.9444	4.1667	0	11	18	0	0.3793	12	1	0
181	50490957	488.65	7.186	44.2959	0.6194	0.6514	1.1326	0.0619	6	17	6	0.0845	5	0	6	3	0	0	0	0	0	9	0	39.7059	8.8235	4.4118	0	9	18	0	0.3333	6	1	0
182	50490958	516.71	6.9826	47.8187	0.6105	0.6462	1.1331	0.0583	6	17	8	0.1039	5	0	6	3	0	0	0	0	0	9	0	39.1892	8.1081	4.0541	0	11	18	0	0.3793	6	1	0
183	50490959	537.72	7.1696	49.813	0.6287	0.6642	1.1246	0.0564	5	22	7	0.0886	5	0	5	3	0	0	0	0	0	8	0	42.6667	6.6667	4	0	10	22	0	0.3125	16	1	0
184	50490960	501.69	6.9679	46.813	0.6132	0.6502	1.1298	0.0601	6	17	7	0.0933	5	0	5	3	0	0	0	0	0	8	0	40.2778	6.9444	4.1667	0	11	18	0	0.3793	12	1	0
185	50369837	398.6	6.6433	39.921	0.6156	0.6653	1.1232	0.0782	0	18	6	0.0938	0	0	4	0	0	0	0	0	0	4	0	43.3333	6.6667	0	0	10	16	0	0.3846	12	1	0
186	50490961	570.68	7.7119	47.6312	0.626	0.6437	1.1468	0.0537	8	17	8	0.1039	5	0	6	3	0	0	0	0	0	12	3	39.1892	8.1081	4.0541	4.0541	11	18	0	0.3793	6	1	0
187	50490956	487.66	7.0675	45.0516	0.6178	0.6529	1.1295	0.0619	5	17	7	0.0972	5	0	5	3	0	0	0	0	0	8	0	40.5797	7.2464	4.3478	0	10	18	0	0.3571	12	1	0
188	50490943	530.74	6.8927	49.5801	0.6065	0.6439	1.1333	0.0567	7	17	8	0.1	5	0	6	3	0	0	0	0	0	9	0	38.961	7.7922	3.8961	0	12	18	0	0.4	6	1	0
189	50490962	570.68	7.7119	47.6312	0.626	0.6437	1.1468	0.0537	8	17	8	0.1039	5	0	6	3	0	0	0	0	0	12	3	39.1892	8.1081	4.0541	4.0541	11	18	0	0.3793	6	1	0
190	50488643	375.36	8.5309	28.7329	0.6581	0.653	1.1249	0.0826	7	15	5	0.1087	3	0	1	8	0	0	0	0	0	9	0	40.9091	2.2727	18.1818	0	5	13	0	0.2778	8	1	0
191	50488644	419.46	8.0665	35.3467	0.665	0.6797	1.1136	0.0731	4	20	6	0.1091	2	0	1	6	0	0	0	0	0	7	0	46.1538	1.9231	11.5385	0	4	20	0	0.1667	8	1	0
192	50488645	360.39	7.8346	29.7955	0.6363	0.6477	1.1221	0.0862	6	13	5	0.1042	1	0	0	7	0	0	0	0	0	7	0	41.3043	0	15.2174	0	6	13	0	0.3158	8	1	0
193	50488646	300.33	7.9034	25.3637	0.6523	0.6675	1.115	0.1039	4	13	3	0.075	1	0	0	5	0	0	0	0	0	5	0	44.7368	0	13.1579	0	4	13	0	0.2353	8	1	0
194	50488647	389.43	8.1131	33.1308	0.6737	0.6902	1.11	0.0788	3	20	5	0.098	2	0	1	5	0	0	0	0	0	6	0	47.9167	2.0833	10.4167	0	3	20	0	0.1304	8	1	0
195	50488648	315.3	8.7583	24.3011	0.6798	0.675	1.1179	0.0988	5	15	3	0.0789	3	0	1	6	0	0	0	0	0	7	0	44.4444	2.7778	16.6667	0	3	13	0	0.1875	8	1	0
196	50488649	240.27	8.009	20.9319	0.6768	0.6977	1.104	0.1307	2	13	1	0.0313	1	0	0	3	0	0	0	0	0	3	0	50	0	10	0	2	13	0	0.1333	8	1	0
197	50488650	270.3	7.95	23.1478	0.6631	0.6808	1.1101	0.1158	3	13	2	0.0556	1	0	0	4	0	0	0	0	0	4	0	47.0588	0	11.7647	0	3	13	0	0.1875	8	1	0
198	50488651	449.49	8.0266	37.5626	0.6575	0.6708	1.1166	0.0682	5	20	7	0.1186	2	0	1	7	0	0	0	0	0	8	0	44.6429	1.7857	12.5	0	5	20	0	0.2	8	1	0
