No.	NAME	Ui	Hy	TPSA(Tot)	MLOGP	MLOGP2	ALOGP2	LOGPcons	ESOL	PDI	SAscore
1847	50064031	3.3219	-0.3287	98.44	1.6757	2.808	13.8607	3.1363	-4.4332	0.9453	3.8328
1848	167912	3.3219	-0.3159	98.44	1.8529	3.4331	12.2738	3.0742	-4.123	0.9179	3.8655
1849	50064038	3.3219	-0.3023	98.44	1.6341	2.6703	9.9515	2.7549	-3.9226	0.919	3.89
1850	50064039	3.3219	-0.2878	98.44	1.4111	1.9912	7.8725	2.4343	-3.7217	0.9201	3.8968
1851	50064040	3.7004	-0.764	90.68	1.6189	2.621	21.1379	3.6206	-5.129	0.971	3.9433
1852	50064041	3.3219	-0.7211	90.68	0.6368	0.4056	9.0848	2.2419	-3.8777	0.9496	3.8562
1853	50064049	3.3219	-0.7434	87.44	1.3759	1.893	15.7927	3.2211	-4.4715	0.9538	3.8187
1854	50064052	3.3219	-0.7124	96.67	0.4257	0.1812	7.5323	2.1099	-3.7122	0.9479	3.8794
1855	50064053	3.3219	-0.7512	87.44	1.9755	3.9026	20.3347	3.8104	-4.7724	0.9124	3.8956
1856	167911	3.3219	-0.7351	87.44	1.5567	2.4234	14.0955	3.1601	-4.1619	0.9273	3.847
1857	50064054	3.3219	-0.7263	87.44	1.3419	1.8006	11.5981	2.8422	-3.962	0.9287	3.868
1858	50064056	3.3219	-0.7169	87.44	1.1231	1.2613	9.344	2.523	-3.7617	0.9303	3.8716
1859	50064057	3.3219	-0.2878	98.44	1.4111	1.9912	7.8725	2.4343	-3.7217	0.9201	3.8104
1860	50064058	3.3219	-0.3023	98.44	1.6341	2.6703	9.9515	2.7549	-3.9226	0.919	3.8069
1861	50064059	3.3219	-0.3159	98.44	1.8529	3.4331	12.2738	3.0742	-4.123	0.9179	3.7854
1862	50064087	3.3219	-0.3407	98.44	2.2789	5.1932	18.134	3.7268	-4.7347	0.9035	3.8352
1863	50064134	3.3219	-0.3097	101.68	0.9367	0.8774	7.6347	2.1572	-3.8392	0.9412	3.7956
1864	50193963	2.9069	0.5836	99.75	2.0005	4.0018	1.3535	1.3775	-2.4505	0.9613	3.6602
1865	50193964	2.9069	0.5925	99.75	2.5599	6.5532	4.1494	2.073	-3.1259	0.9606	3.8439
1866	50193965	2.9069	0.5925	99.75	2.841	8.0711	5.147	2.2276	-3.7819	0.9818	4.0108
1867	50193967	2.3219	0.4966	88.41	1.9294	3.7225	2.6024	1.3591	-2.5021	0.9405	3.4643
1868	50193968	2.9069	0.6413	112.64	1.7499	3.0623	1.5695	1.1221	-2.2792	0.9519	3.7328
1869	50194131	2.9069	0.4966	99.75	2.573	6.6201	4.3727	2.065	-2.9696	0.9521	3.8209
1870	50194132	2.9069	0.5925	99.75	2.7017	7.299	4.6053	2.1929	-3.4758	0.9683	3.9271
1871	50194133	2.9069	1.2507	111.78	1.8138	3.29	1.276	1.2105	-2.3555	0.9528	3.8799
1872	50194134	2.9069	0.407	102.99	2.6053	6.7878	4.522	2.0987	-3.1846	0.975	3.7214
1873	50194135	2.9069	0.3518	102.99	3.098	9.5974	11.6315	3.033	-3.5987	0.9337	3.6874
1874	50194136	2.9069	0.3784	102.99	2.8547	8.1495	6.6703	2.464	-3.5146	0.9705	3.6679
1875	8960	3	-0.8482	38.77	3.5161	12.3629	20.8822	4.149	-4.7765	0.9656	3.7728
1876	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1877	50068296	3.1699	-0.4646	20.2	4.7949	22.9908	45.6719	6.1475	-6.0146	0.9796	3.3321
1878	50068297	3.1699	-0.448	20.2	4.4012	19.3701	34.1722	5.4521	-5.5757	0.9869	3.3169
1879	50068299	3.1699	-0.4646	20.2	4.6975	22.0664	39.6799	5.7906	-5.6682	0.9808	3.3957
1880	50068300	3.1699	-0.448	20.2	4.3009	18.4979	29.0176	5.0942	-5.2287	0.9885	3.3848
1881	50068301	3.1699	-0.4885	20.2	4.3314	18.7612	37.1332	5.5537	-5.4018	0.9806	3.3123
1882	50068306	3.1699	-0.4645	20.2	3.7276	13.8948	22.3266	4.5062	-4.7423	0.9928	3.2941
1883	50068319	3.1699	-0.4297	63.57	3.6979	13.6743	21.2549	4.3981	-4.8052	0.9584	3.4927
1884	50068334	3.1699	0.1183	74.57	3.5024	12.267	19.0035	4.1482	-4.6515	0.9515	3.4226
