No.	NAME	qpmax	qnmax	Qtot	Qmean	Q2	RPCG	RNCG	SPP	LDI
4690	50445707	0.1749	-0.3081	3.7268	0.0678	0.438	0.0939	0.1654	0.4831	0.1072
4691	50445708	0.1749	-0.3081	4.1676	0.0758	0.5722	0.0839	0.1479	0.4831	0.1284
4692	50445709	0.1749	-0.3081	3.8263	0.0696	0.4791	0.0914	0.1611	0.4831	0.1173
4693	50445710	0.1749	-0.3081	3.9856	0.0653	0.4808	0.0878	0.1546	0.4831	0.1053
4694	50445711	0.1749	-0.4948	5.3604	0.0851	1.023	0.0653	0.1846	0.6697	0.1397
4695	50445712	0.1749	-0.3081	3.8466	0.0699	0.4839	0.0909	0.1602	0.4831	0.1171
4696	50445713	0.1749	-0.3081	3.8974	0.0709	0.4845	0.0898	0.1581	0.4831	0.1127
4697	50445714	0.1749	-0.3081	4.0325	0.0733	0.5283	0.0868	0.1528	0.4831	0.1207
4698	50445715	0.1749	-0.3081	3.6912	0.0671	0.4352	0.0948	0.167	0.4831	0.1097
4699	50445716	0.1749	-0.3081	3.8505	0.0631	0.4369	0.0909	0.1601	0.4831	0.0983
4700	50445717	0.1749	-0.4948	5.2252	0.0829	0.9791	0.067	0.1894	0.6697	0.1329
4701	50445718	0.1749	-0.3081	3.7115	0.0675	0.44	0.0943	0.166	0.4831	0.1095
4702	50445719	0.1749	-0.3081	3.7623	0.0684	0.4407	0.093	0.1638	0.4831	0.1051
4703	50443326	0.2099	-0.4914	5.339	0.1068	1.3937	0.0786	0.1841	0.7014	0.1655
4704	50106455	0.1654	-0.3601	3.0681	0.0697	0.4522	0.1078	0.2347	0.5254	0.1043
4705	50125782	0.1658	-0.3976	3.3251	0.0756	0.504	0.0997	0.2391	0.5634	0.1304
4706	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4707	8960	0.1669	-0.4914	4.2533	0.0746	0.853	0.0785	0.2311	0.6583	0.1084
4708	50447959	na	na	na	na	na	na	na	na	na
4709	50447960	na	na	na	na	na	na	na	na	na
4710	50447961	na	na	na	na	na	na	na	na	na
4711	50447962	na	na	na	na	na	na	na	na	na
4712	50447963	na	na	na	na	na	na	na	na	na
4713	50447964	na	na	na	na	na	na	na	na	na
4714	50447965	na	na	na	na	na	na	na	na	na
4715	50447966	na	na	na	na	na	na	na	na	na
4716	50447967	na	na	na	na	na	na	na	na	na
4717	50447969	na	na	na	na	na	na	na	na	na
4718	34233	na	na	na	na	na	na	na	na	na
4719	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4720	8960	0.1669	-0.4914	4.2533	0.0746	0.853	0.0785	0.2311	0.6583	0.1084
4721	50443367	na	na	na	na	na	na	na	na	na
4722	50443368	na	na	na	na	na	na	na	na	na
4723	50443369	na	na	na	na	na	na	na	na	na
4724	50443370	na	na	na	na	na	na	na	na	na
4725	50443371	na	na	na	na	na	na	na	na	na
4726	50443372	na	na	na	na	na	na	na	na	na
4727	50443373	na	na	na	na	na	na	na	na	na
4728	50443374	na	na	na	na	na	na	na	na	na
4729	50443375	na	na	na	na	na	na	na	na	na
4730	50443376	na	na	na	na	na	na	na	na	na
4731	50443377	na	na	na	na	na	na	na	na	na
4732	50443378	na	na	na	na	na	na	na	na	na
4733	50443379	na	na	na	na	na	na	na	na	na
4734	50443380	na	na	na	na	na	na	na	na	na
4735	50443381	na	na	na	na	na	na	na	na	na
4736	10404	0.2102	-0.4914	3.8496	0.0917	0.9116	0.1092	0.2553	0.7017	0.1455
4737	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4738	50441840	0.1925	-0.4918	5.8138	0.0755	1.1713	0.0662	0.1692	0.6843	0.1255
4739	50441842	0.2922	-0.5058	6.6988	0.0859	1.5354	0.0872	0.151	0.798	0.1386
4740	50441843	0.1931	-0.4918	6.6211	0.0744	1.2383	0.0583	0.1486	0.6849	0.1241
4741	50441844	0.1931	-0.4918	6.3343	0.0728	1.1977	0.061	0.1553	0.6849	0.1219
4742	50441845	0.1931	-0.4918	6.8989	0.0726	1.3439	0.056	0.1426	0.6849	0.1248
4743	50441846	0.1931	-0.4918	6.9438	0.078	1.3968	0.0556	0.1417	0.6849	0.1339
4744	50441847	0.1931	-0.4951	7.0554	0.0775	1.4652	0.0547	0.1403	0.6882	0.1293
4745	50441848	0.1931	-0.4918	6.4138	0.0713	1.1985	0.0602	0.1534	0.6849	0.1178
4746	50441849	0.1966	-0.4942	7.2313	0.0795	1.4877	0.0544	0.1367	0.6908	0.1261
4747	50441850	0.2922	-0.5058	7.2546	0.0824	1.5645	0.0805	0.1394	0.798	0.1322
4748	50441851	0.1931	-0.4918	6.6815	0.0696	1.2116	0.0578	0.1472	0.6849	0.1154
4749	50441852	0.1931	-0.4918	6.5754	0.0707	1.2074	0.0587	0.1496	0.6849	0.1172
4750	50441853	0.1931	-0.4918	6.4694	0.0719	1.2033	0.0597	0.1521	0.6849	0.119
4751	50441854	0.1931	-0.4918	6.3697	0.0732	1.2004	0.0606	0.1544	0.6849	0.1206
4752	50441855	0.1931	-0.4906	6.3494	0.0756	1.1997	0.0608	0.1545	0.6837	0.1234
4753	50441856	0.1931	-0.4918	6.6304	0.0713	1.2088	0.0582	0.1484	0.6849	0.117
4754	50441857	0.1931	-0.4918	6.5243	0.0725	1.2046	0.0592	0.1508	0.6849	0.119
4755	50441858	0.1931	-0.4918	6.4183	0.0738	1.2006	0.0602	0.1533	0.6849	0.1209
4756	50441859	0.1931	-0.4918	6.3186	0.0752	1.1976	0.0611	0.1557	0.6849	0.1226
4757	50441860	0.1931	-0.4906	6.2983	0.0778	1.1969	0.0613	0.1558	0.6837	0.1255
4758	26664	0.2921	-0.5066	3.1949	0.1141	0.7841	0.1829	0.3172	0.7988	0.1741
4759	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4760	50444287	na	na	na	na	na	na	na	na	na
4761	50444288	na	na	na	na	na	na	na	na	na
4762	50444289	na	na	na	na	na	na	na	na	na
4763	50444291	na	na	na	na	na	na	na	na	na
4764	50444292	na	na	na	na	na	na	na	na	na
4765	50444293	na	na	na	na	na	na	na	na	na
4766	50444294	na	na	na	na	na	na	na	na	na
4767	50405551	0.1718	-0.204	2.5474	0.067	0.2577	0.0968	0.2637	0.3758	0.0835
4768	9402	0.2241	-0.3557	3.292	0.0588	0.455	0.1361	0.2161	0.5798	0.0964
