No.	NAME	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax5_Bh(m)	SpMax6_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax6_Bh(v)	SpMax7_Bh(v)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax5_Bh(e)	SpMax1_Bh(p)	SpMax2_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin2_Bh(v)	SpMin5_Bh(v)	SpMin7_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin6_Bh(p)	SpMin3_Bh(i)	SpMin8_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
3661	50341584	3.9067	3.891	3.6112	3.5565	3.334	4.0982	3.8541	3.2931	3.1572	3.9271	3.7466	3.6229	4.0898	3.8468	4.1981	4.0356	5.0329	4.9476	4.6307	4.4468	4.2836	4.2615	4.0465	2.175	2.0454	1.9616	1.8862	1.5132	2.1984	2.025	1.6632	1.5429	2.1086	1.8729	1.9639	1.8854	1.5459	1.7602	1.1215	1.404	1.3967	1.2112	1.1511	0.8527	0.8246	0.7112	0.6299
3662	50341585	3.9077	3.8918	3.6146	3.5604	3.4108	4.0983	3.8541	3.3784	3.1626	3.9277	3.7535	3.6309	4.09	3.8468	4.1982	4.0384	5.0343	4.9481	4.6308	4.4499	4.2849	4.2632	4.0465	2.1751	2.0456	1.9712	1.9338	1.5132	2.1984	2.0254	1.668	1.5485	2.1086	1.8731	1.9659	1.9096	1.6293	1.7607	1.1272	1.4042	1.3968	1.2843	1.1587	0.8529	0.826	0.8246	0.6591
3663	50341586	3.9001	3.89	3.5672	3.5488	3.4051	4.0985	3.8541	3.4413	3.3033	3.9264	3.7105	3.6234	4.0902	3.8468	4.1986	4.0253	5.033	4.9477	4.6307	4.4467	4.2831	4.2474	4.1083	2.175	2.0095	1.9616	1.9346	1.5841	2.1984	1.9833	1.8646	1.6455	2.1086	1.8729	1.9585	1.8835	1.6753	1.7051	1.2431	1.404	1.3166	1.215	1.2109	1.151	0.8531	0.8519	0.6603
3664	50341587	3.9004	3.8917	3.5719	3.5528	3.4102	4.0987	3.8541	3.4413	3.382	3.9275	3.7177	3.6317	4.0904	3.8468	4.1987	4.0285	5.0344	4.9481	4.6308	4.4499	4.2849	4.2483	4.1083	2.1751	2.01	1.9709	1.9346	1.5849	2.1984	1.9849	1.8646	1.6564	2.1086	1.8731	1.9596	1.9067	1.6834	1.7073	1.2482	1.4041	1.3176	1.283	1.215	1.1586	0.8664	0.8527	0.7956
3665	50341588	3.8987	3.8894	3.5617	3.5164	3.32	4.0982	3.8541	3.3198	3.2777	3.9259	3.6764	3.6204	4.0898	3.8468	4.1979	4.0224	5.0329	4.9476	4.6307	4.4468	4.2832	4.2391	4.0465	2.175	1.9782	1.9609	1.8849	1.5443	2.1984	1.9678	1.7855	1.5523	2.1086	1.8729	1.9459	1.8789	1.6747	1.675	1.2334	1.404	1.2521	1.2081	1.1507	1.0902	0.8527	0.6876	0.6292
3666	50341589	3.8985	3.8916	3.5664	3.5249	3.3927	4.0983	3.8541	3.3551	3.3198	3.9273	3.6896	3.6255	4.09	3.8468	4.198	4.0256	5.0343	4.9481	4.6308	4.4499	4.2849	4.2404	4.0465	2.1751	1.9819	1.9672	1.9324	1.5838	2.1984	1.9726	1.7855	1.6254	2.1086	1.8731	1.948	1.9013	1.6814	1.6821	1.2408	1.4041	1.287	1.2464	1.1586	1.0902	0.8529	0.821	0.638
3667	50341590	3.906	3.8909	3.5686	3.5429	3.3172	4.0983	3.8541	3.2707	3.2678	3.9267	3.6936	3.6205	4.0899	3.8468	4.1982	4.0293	5.0328	4.9476	4.6307	4.4472	4.3258	4.2827	4.0479	2.175	1.9864	1.9611	1.8844	1.486	2.1984	1.9782	1.742	1.549	2.1086	1.8729	1.958	1.8808	1.6746	1.7022	1.2107	1.404	1.2286	1.2012	1.1503	0.9888	0.8527	0.6472	0.6202
3668	50341591	3.907	3.8918	3.5743	3.5482	3.394	4.0984	3.8541	3.3495	3.2707	3.9275	3.706	3.6259	4.0901	3.8468	4.1983	4.0324	5.0342	4.9481	4.6308	4.45	4.3268	4.2848	4.0479	2.1751	1.9889	1.9685	1.9323	1.5832	2.1984	1.981	1.742	1.6191	2.1086	1.8731	1.9593	1.9045	1.681	1.7053	1.2381	1.4041	1.2863	1.2167	1.1585	0.9888	0.8529	0.8162	0.6281
3669	50341592	3.9518	3.8918	3.6808	3.5571	3.3314	4.0987	3.891	3.29	3.1571	3.9276	3.761	3.622	4.0904	3.8868	4.1979	4.048	5.0335	4.9477	4.6985	4.6306	4.4458	4.2829	4.0465	2.175	2.0235	1.9613	1.8836	1.4451	2.1984	2.001	1.663	1.5174	2.1086	1.9082	1.9623	1.8822	1.5378	1.8598	1.1215	1.404	1.2143	1.1525	1.0899	0.8527	0.6459	0.6203	0.5777
3670	50341593	3.953	3.8919	3.6841	3.5611	3.4099	4.0988	3.892	3.3755	3.1625	3.9278	3.77	3.6292	4.0906	3.8877	4.198	4.0504	5.0347	4.9481	4.6981	4.6308	4.4496	4.2848	4.0465	2.1751	2.0243	1.9699	1.9323	1.4456	2.1984	2.0021	1.6671	1.5484	2.1086	1.9084	1.964	1.9065	1.6248	1.86	1.1239	1.4041	1.2857	1.1589	1.095	0.8529	0.8119	0.6281	0.5777
