No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
5353	50438844	0.4361	0.2847	0.1848	0.0758	6.6049	3.2985	0.5925	0.3246	0.0975	0.0267	9.1328	3.8869
5354	50438825	0.4441	0.2957	0.1844	0.0756	7.4815	3.3813	0.6364	0.3378	0.097	0.0246	9.2957	3.8512
5355	50438826	0.4496	0.2875	0.19	0.0756	6.083	2.8321	0.6169	0.3338	0.0973	0.0243	8.8128	3.7466
5356	50438827	0.4423	0.2962	0.1845	0.0745	5.8594	2.3458	0.6087	0.3136	0.0881	0.0235	7.8272	3.5479
5357	50438828	0.4326	0.2848	0.1811	0.0737	4.2302	1.91	0.5629	0.292	0.0806	0.0223	6.6024	3.0012
5358	50438830	0.4384	0.2865	0.1861	0.0778	6.8812	3.4448	0.5918	0.3285	0.0998	0.0304	9.1206	3.9782
5359	50438831	0.4361	0.2847	0.1848	0.0758	6.5276	3.268	0.5869	0.3222	0.0967	0.0264	8.8706	3.8869
5360	50438832	0.4496	0.2875	0.19	0.0756	6.0057	2.8016	0.6114	0.3312	0.0964	0.0239	8.5506	3.7466
5361	50438833	0.4423	0.2962	0.1845	0.0745	5.7821	2.3153	0.6027	0.3108	0.0871	0.0231	7.565	3.5479
5362	50438834	0.4326	0.2848	0.1811	0.0737	4.1529	1.8795	0.5551	0.2884	0.0794	0.0219	6.3402	3.0012
5363	50438835	0.4401	0.2848	0.1869	0.0794	5.9294	2.9159	0.5655	0.3098	0.0914	0.026	8.7851	3.9262
5364	50438836	0.4401	0.2848	0.1869	0.0794	6.3777	3.2741	0.578	0.3255	0.0988	0.0306	8.7851	3.9262
5365	50438837	0.4378	0.2828	0.1855	0.0774	6.0241	3.0974	0.5724	0.3187	0.0955	0.0263	8.5351	3.8347
5366	50438838	0.446	0.2946	0.1851	0.0772	6.9007	3.1801	0.6196	0.3326	0.0949	0.0239	8.698	3.7969
5367	50438839	0.4519	0.2858	0.191	0.0772	5.5023	2.631	0.5978	0.3281	0.0951	0.0236	8.215	3.6932
5368	50438840	0.4444	0.2949	0.1854	0.0762	5.2787	2.1446	0.5874	0.3065	0.0852	0.0227	7.2294	3.4936
5369	50438841	0.4348	0.2822	0.182	0.0754	3.6494	1.7088	0.5321	0.2816	0.0767	0.0214	6.0047	2.943
5370	50202488	0.4469	0.3208	0.1892	0.078	8.3782	3.4561	0.6665	0.3645	0.1209	0.0352	7.5824	3.4991
5371	50202487	0.4497	0.2939	0.1939	0.0839	6.2808	3.0463	0.5988	0.3368	0.1067	0.0337	8.9446	3.6745
5372	50202490	0.4506	0.3252	0.1924	0.0834	8.3477	3.5406	0.6571	0.3665	0.1248	0.0394	7.2466	3.5693
5373	50202489	0.4454	0.2973	0.1848	0.0791	6.3525	3.1127	0.5839	0.3113	0.0937	0.0281	9.6184	3.7386
5374	11682	0.4695	0.3123	0.2121	0.0816	4.5942	1.4439	0.6558	0.3415	0.1109	0.0266	5.939	2.879
5375	50202495	0.4447	0.2998	0.1877	0.0793	6.3315	2.8667	0.5785	0.3086	0.0931	0.0275	9.2191	3.7698
5376	50202496	0.4338	0.3015	0.1798	0.0722	7.0256	3.3319	0.5335	0.285	0.0857	0.0244	9.2052	3.8386
5377	50202497	0.4492	0.3214	0.1882	0.0801	7.8782	3.3407	0.6548	0.3625	0.1198	0.0355	7.1717	3.434
5378	50202494	0.4483	0.2891	0.1905	0.0815	5.8113	2.8465	0.5938	0.3318	0.1026	0.0309	8.8697	3.5403
5379	50202492	0.4468	0.2876	0.1881	0.0797	6.3323	3.2078	0.614	0.3379	0.1046	0.0317	9.6797	3.5723
5380	50202486	0.4332	0.3035	0.182	0.0723	7.0046	3.0859	0.5289	0.2827	0.0851	0.0238	8.806	3.8678
5381	50202491	0.4461	0.2904	0.1912	0.0799	6.3113	2.9619	0.6081	0.335	0.1043	0.0309	9.2804	3.6043
5382	50202493	0.4481	0.3033	0.1902	0.083	6.301	2.9512	0.5699	0.3103	0.0949	0.0297	8.8833	3.8377
5383	50202508	0.4467	0.2992	0.1869	0.0807	5.8315	2.7513	0.5642	0.3046	0.091	0.0272	8.8084	3.7065
5384	50202499	0.4469	0.3211	0.1869	0.0781	8.4589	3.5627	0.6723	0.3673	0.1211	0.0366	7.761	3.4853
5385	50200121	0.4478	0.3009	0.1876	0.0733	7.5161	2.9101	0.5923	0.3041	0.0856	0.0217	10.1328	4.1612
