No.	NAME	MWC07	SRW05	MPC09	piPC03	piPC07	piPC10	piID	PCD
5757	8961	8.8705	0	4.2047	4.4942	6.4033	6.6542	8.7827	2.4111
5758	50234773	9.8138	0	6.0936	5.2311	7.5033	8.9378	13.5042	4.6206
5759	50234775	9.7958	0	6.0822	5.2231	7.5032	8.9481	13.4656	4.582
5760	50234769	9.8168	0	6.1203	5.2391	7.5216	8.967	13.5898	4.631
5761	50234770	9.8358	0	6.1291	5.247	7.5227	8.9616	13.6413	4.6825
5762	50234776	9.8403	0	6.1442	5.2857	7.5645	9.0229	13.8395	4.8107
5763	50234777	9.8138	0	6.0936	5.2311	7.5033	8.9378	13.5042	4.6206
5764	50234774	9.7988	0	6.0936	5.2231	7.5032	8.9426	13.475	4.5914
5765	50234772	9.7663	0	6.045	5.1985	7.4806	8.9001	13.3453	4.5428
5766	50234768	9.8125	0	6.1137	5.2391	7.5188	8.9674	13.573	4.6142
5767	50234778	9.8623	0	6.1399	5.2627	7.5255	8.9742	13.6413	4.6824
5768	50234771	9.8138	0	6.0936	5.2311	7.5033	8.9378	13.5042	4.6206
5769	50237228	9.5176	0	4.9416	4.9887	6.0806	6.6277	11.917	3.3986
5770	50237374	9.5242	0	4.9273	5.009	6.1674	6.5867	12.0822	3.6079
5771	50237225	9.544	0	4.9127	5.009	6.1257	6.6141	11.9179	3.3904
5772	50237223	9.5348	0	4.92	5.0023	6.1235	6.6224	11.9079	3.4069
5773	50252606	9.0475	0	4.2195	4.5539	5.6189	5.5894	9.153	2.0071
5774	50252519	9.0047	0	4.1897	4.2662	5.3829	5.403	8.2861	1.2794
5775	50252575	9.1953	0	4.4886	4.6052	5.7163	5.7673	9.687	2.0806
5776	50237543	9.5427	0	4.92	5.0222	6.1716	6.5669	12.0991	3.5714
5777	50237222	9.5257	0	4.9273	4.9955	6.1257	6.6472	11.8979	3.4238
5778	50237546	9.5453	0	4.9273	5.009	6.0829	6.5884	11.9464	3.3508
5779	50237544	9.5348	0	4.92	5.0023	6.1235	6.6224	11.9079	3.4069
5780	50237374	9.5242	0	4.9273	5.009	6.1674	6.5867	12.0822	3.6079
5781	50237222	9.5257	0	4.9273	4.9955	6.1257	6.6472	11.8979	3.4238
5782	50237226	9.5335	0	4.92	5.0156	6.1695	6.5725	12.0907	3.5894
5783	50237539	9.5531	0	4.9127	5.0156	6.1279	6.6087	11.9278	3.3743
5784	50237227	9.5531	0	4.9127	5.0156	6.1279	6.6087	11.9278	3.3743
5785	50237538	9.515	0	4.9416	5.0023	6.1695	6.6337	12.0736	3.6268
5786	50237221	9.5268	0	4.9345	4.9955	6.0783	6.6024	11.9269	3.3823
5787	50237545	9.5257	0	4.9273	4.9955	6.1257	6.6472	11.8979	3.4238
5788	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5789	50237540	9.5361	0	4.9273	5.0023	6.0806	6.5939	11.9367	3.3664
5790	50237226	9.5335	0	4.92	5.0156	6.1695	6.5725	12.0907	3.5894
5791	50237543	9.5427	0	4.92	5.0222	6.1716	6.5669	12.0991	3.5714
5792	50237225	9.544	0	4.9127	5.009	6.1257	6.6141	11.9179	3.3904
5793	50237542	9.544	0	4.9127	5.009	6.1257	6.6141	11.9179	3.3904
5794	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5795	50237221	9.5268	0	4.9345	4.9955	6.0783	6.6024	11.9269	3.3823
5796	50237540	9.5361	0	4.9273	5.0023	6.0806	6.5939	11.9367	3.3664
5797	50237545	9.5257	0	4.9273	4.9955	6.1257	6.6472	11.8979	3.4238
5798	50237538	9.515	0	4.9416	5.0023	6.1695	6.6337	12.0736	3.6268
5799	50237228	9.5176	0	4.9416	4.9887	6.0806	6.6277	11.917	3.3986
5800	50237546	9.5453	0	4.9273	5.009	6.0829	6.5884	11.9464	3.3508
5801	50237544	9.5348	0	4.92	5.0023	6.1235	6.6224	11.9079	3.4069
5802	50237542	9.544	0	4.9127	5.009	6.1257	6.6141	11.9179	3.3904
5803	50237223	9.5348	0	4.92	5.0023	6.1235	6.6224	11.9079	3.4069
5804	9006	9.5363	2.3979	4.9767	5.1511	6.9756	7.2642	12.3865	4.1262
5805	50235809	9.043	2.3979	4.3694	4.3274	5.7191	5.7504	7.9645	1.3299
5806	50235811	9.0484	2.3979	4.3175	4.3406	5.6882	5.7176	8.0173	1.3215
5807	50245727	9.4759	2.3979	5.2095	5.0791	6.9231	7.816	12.6101	4.3421
5808	8970	9.7211	0	5.3706	5.2575	7.2508	7.6929	13.5603	4.6525
5809	50245716	9.7858	0	5.5053	5.2933	7.2664	7.7775	13.567	4.6188
5810	50245728	9.9525	0	5.656	5.4227	7.3927	8.1705	14.1032	4.7926
5811	50252540	8.7344	0	3.9703	4.1312	5.3016	5.22	7.7344	1.321
5812	50252566	9.1955	2.3979	4.4427	4.3975	5.4581	5.3348	8.7589	1.2189
5813	50252606	9.0475	0	4.2195	4.5539	5.6189	5.5894	9.153	2.0071
5814	50252563	8.8836	0	4.0775	4.2232	5.3407	5.2227	8.1674	1.2758
5815	50252607	9.1822	0	4.4886	4.5951	5.713	5.789	9.6719	2.1035
5816	50252573	9.0015	0	4.2485	4.5218	5.6153	5.7468	9.0882	2.0897
5817	50005699	8.8292	0	4.0943	4.1782	5.3359	5.3569	8.02	1.3046
5818	50252566	9.1955	2.3979	4.4427	4.3975	5.4581	5.3348	8.7589	1.2189
5819	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5820	50252554	8.8657	0	4.0775	4.2084	5.3359	5.2361	8.1203	1.2852
5821	50252554	8.8657	0	4.0775	4.2084	5.3359	5.2361	8.1203	1.2852
5822	50252575	9.1953	0	4.4886	4.6052	5.7163	5.7673	9.687	2.0806
5823	50252520	9.156	2.3979	4.4543	4.3599	5.4539	5.4725	8.6708	1.2508
5824	50252526	9.1577	0	4.5218	4.5747	5.6475	5.808	9.6786	2.0954
5825	50252563	8.8836	0	4.0775	4.2232	5.3407	5.2227	8.1674	1.2758
5826	8961	8.8705	0	4.2047	4.4942	6.4033	6.6542	8.7827	2.4111
5827	50235412	9.8178	0	5.9789	5.186	7.2691	8.5032	11.7216	3.254
5828	50235408	9.7723	0	5.8944	5.1165	7.1858	8.3903	11.3913	3.0621
5829	50235416	9.7938	0	5.9375	5.1343	7.2127	8.4187	11.4993	3.0987
5830	50235417	9.7909	0	5.8972	5.1255	7.183	8.3844	11.4246	3.0954
5831	50235422	9.7909	0	5.8972	5.1255	7.183	8.3844	11.4246	3.0954
5832	50235423	9.8236	0	5.9687	5.186	7.2847	8.521	11.7503	3.2828
5833	50235411	9.8227	0	5.9402	5.1518	7.2133	8.4437	11.515	3.1142
5834	50235409	9.7723	0	5.8944	5.1165	7.1858	8.3903	11.3913	3.0621
5835	50235421	9.7723	0	5.8944	5.1165	7.1858	8.3903	11.3913	3.0621
5836	50235413	9.7755	0	5.9054	5.1165	7.1875	8.3822	11.3994	3.0702
5837	50235414	9.7755	0	5.9054	5.1165	7.1875	8.3822	11.3994	3.0702
5838	50235419	9.7755	0	5.9054	5.1165	7.1875	8.3822	11.3994	3.0702
5839	50235420	9.7894	0	5.9375	5.1343	7.2073	8.4197	11.4846	3.084
5840	50235415	9.7723	0	5.8944	5.1165	7.1858	8.3903	11.3913	3.0621
5841	50235410	9.7421	0	5.8493	5.0891	7.1547	8.3276	11.2884	3.0359
5842	50235418	9.7909	0	5.8972	5.1255	7.183	8.3844	11.4246	3.0954
5843	50458107	9.7804	2.3979	5.4681	5.3782	7.4556	8.3352	14.2901	5.3041
5844	50458108	9.7927	2.3979	5.4638	5.3942	7.4912	8.3486	14.3687	5.3095
5845	50458109	9.7855	2.3979	5.4723	5.3896	7.4907	8.3567	14.3671	5.3273
5846	50240676	9.3348	0	4.9558	4.734	6.2326	7.1124	10.5184	2.9868
5847	50240677	9.3611	0	4.9558	4.7428	6.2502	7.1441	10.4815	2.97
5848	50244287	9.5252	2.3979	5.3033	5.0098	6.9963	8.0311	11.187	3.1073
5849	50244245	9.5436	2.3979	5.2781	5.0231	6.9963	8.0178	11.2549	3.0993
5850	50244245	9.5436	2.3979	5.2781	5.0231	6.9963	8.0178	11.2549	3.0993
5851	50244287	9.5252	2.3979	5.3033	5.0098	6.9963	8.0311	11.187	3.1073
5852	50254287	8.498	0	3.3673	3.956	4.8068	4.681	6.9677	1.1656
5853	50254288	8.498	0	3.3673	3.956	4.8068	4.681	6.9677	1.1656
5854	50254293	8.1879	0	1.0986	3.7899	4.4699	0	6.2697	1.2134
5855	50242290	9.1604	0	4.3307	4.625	5.6262	5.5733	9.0813	1.8952
5856	50242289	9.1754	0	4.3694	4.6396	5.5784	5.5712	9.1189	1.911
5857	50242288	9.119	0	4.2905	4.5951	5.5416	5.4956	8.9849	1.8767
5858	50242291	9.233	0	4.4188	4.654	5.5995	5.5669	9.0325	1.8313
5859	50242281	9.2835	0	4.4886	4.6959	5.6342	5.6375	9.1645	1.8667
5860	50242275	9.2142	0	4.4659	4.6396	5.5559	5.5882	9.07	1.8496
5861	50242292	9.3171	0	4.5643	4.723	5.7535	5.6612	9.2509	1.8807
5862	50242293	9.2683	0	4.4998	4.6821	5.7227	5.5924	9.1198	1.8446
5863	50242294	9.1602	0	4.4308	4.585	5.5361	5.6573	8.9158	1.8417
5864	50242295	9.2685	0	4.5539	4.6728	5.7373	5.7474	9.1007	1.8694
5865	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5866	8961	8.8705	0	4.2047	4.4942	6.4033	6.6542	8.7827	2.4111
5867	50242282	9.2816	0	4.5218	4.6959	5.6717	5.5712	9.1575	1.8597
5868	50242277	9.3507	0	4.6728	4.7406	5.8301	5.8383	9.4044	1.9017
5869	50242296	9.153	0	4.3944	4.5951	5.5182	5.4556	8.9214	1.7994
5870	10404	9.5434	2.3979	5.3033	4.5406	6.3481	6.9987	9.1845	1.5967
5871	50242315	10.4218	3.434	7.0851	4.6347	6.5396	7.3363	9.6089	0.0884
5872	50242316	10.4125	3.434	7.0157	4.625	6.5088	7.2591	9.5029	0.0917
5873	50242317	10.0462	2.3979	6.2146	4.4773	5.8435	6.4329	8.8131	0.0873
5874	50242318	10.3999	3.434	7.0901	4.6347	6.5709	7.4085	9.6931	0.1727
5875	50242320	10.0053	0	6.0568	4.4773	5.8464	6.2785	8.5291	0.151
5876	10404	9.5434	2.3979	5.3033	4.5406	6.3481	6.9987	9.1845	1.5967
5877	50242322	10.5045	2.3979	6.8167	4.7536	6.4329	7.057	9.5163	0.0786
5878	50242323	10.2911	2.3979	6.6657	4.5951	6.2729	6.8957	9.3366	0.0865
5879	50242324	10.0462	2.3979	6.2146	4.4773	5.8435	6.4329	8.8131	0.0873
5880	50241979	8.3749	0	1.6094	3.866	4.5591	0	6.2799	1.1985
5881	50241978	8.3749	0	1.6094	3.866	4.5591	0	6.2799	1.1985
5882	50256407	9.0423	0	4.1897	4.5951	5.6004	5.7589	9.5595	2.4513
5883	111952	10.1436	2.3979	6.0379	5.4111	7.1421	8.2683	14.2241	4.0364
5884	8960	9.3832	2.3979	4.9273	4.7185	6.0547	6.2448	9.8521	2.1175
5885	50256425	9.1868	0	4.3567	4.7493	5.9183	5.9865	10.0732	2.6898
5886	50140172	8.9992	0	3.8067	4.714	5.9511	6.2466	9.8424	3.1641
5887	50256496	9.5731	0	4.9488	5.1284	6.8926	7.1545	11.7816	3.6992
5888	50256497	9.4966	0	4.8903	5.0736	6.8145	7.0901	11.5612	3.6012
5889	50256498	9.5551	0	4.9416	5.1165	6.8905	7.1673	11.7661	3.7491
5890	50256524	9.546	0	4.9558	5.1105	6.8895	7.1943	11.7582	3.7751
5891	50256459	9.4674	0	4.8978	5.0547	6.8112	7.1325	11.5328	3.6812
5892	50256460	9.5731	0	4.9488	5.061	6.7603	7.0831	11.2304	3.148
5893	50256489	9.5551	0	4.9416	5.0483	6.758	7.0952	11.2051	3.1881
5894	50256525	9.4772	0	4.8828	4.9887	6.6971	7.0615	11.0109	3.1222
5895	50256491	9.4674	0	4.8978	4.9819	6.6958	7.0854	10.9955	3.1438
