No.	NAME	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
3503	50320904	16	35	27	4	0.7714	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6286	0	0	69.234	341.3955	0	0	111.6269	290.4938	0	0
3504	50320905	16	35	27	4	0.75	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6111	0	0	72.6827	357.6657	0	0	117.4036	305.7099	0	0
3505	50320906	16	35	27	4	0.7297	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.5946	0	0	76.188	374.6551	0	0	123.2956	321.4283	0	0
3506	50320907	16	35	27	4	0.75	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.6111	0	0	72.6827	357.6657	0	0	117.4036	305.7099	0	0
3507	50320908	16	35	27	4	0.7105	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	3	0.5789	0	0	79.6933	391.6445	0	0	129.1876	337.1467	0	0
3508	50320909	16	35	27	4	0.8438	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.6875	0	0	59.0847	285.9669	0	0	94.7432	246.8974	0	0
3509	50320910	16	35	27	4	0.8182	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.6667	0	0	62.5891	306.3735	0	0	100.6076	262.4278	0	0
3510	50320911	16	35	27	4	0.8182	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.6667	0	0	62.0785	299.8974	0	0	99.7	259.228	0	0
3511	50320912	16	35	27	4	0.7941	0.2963	1.2963	2	0.3333	0	0	0	0	1	5	0	0	1	3	0	0	2	0.6471	0	0	65.6589	320.8108	0	0	105.7144	275.3947	0	0
3512	50320913	30	58	42	8	0.84	0.381	1.381	2	0.2	0	0	0	0	2	8	0	0	2	6	0	0	4	0.64	0	0	194.8141	681.4186	0	0	319.1619	836.9945	0	0
3513	50320914	30	58	42	8	0.8235	0.381	1.381	2	0.2	0	0	0	0	2	8	0	0	2	6	0	0	4	0.6275	0	0	204.1227	719.4219	0	0	335.1478	883.8016	0	0
3514	50320915	30	58	42	8	0.8077	0.381	1.381	2	0.2	0	0	0	0	2	8	0	0	2	6	0	0	4	0.6154	0	0	213.4454	757.6763	0	0	351.1865	930.9553	0	0
3515	10404	12	24	16	4	0.8095	0.4706	1.4118	1	0.25	1	0	0	0	1	2	1	0	2	1	1	1	1	0.2857	0	0	20.8096	60.1387	33.4866	0	85.3636	46.6682	54.8655	60.1397
3516	50324048	1	6	6	0	0.4286	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.4286	0	0	0	46.6286	0	0	0	0	0	0
3517	50324049	2	11	11	0	0.6875	0	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0.375	0	0	41.3944	50.7675	0	0	0	0	0	0
3518	50324066	1	6	6	0	0.4286	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.4286	0	0	0	46.6286	0	0	0	0	0	0
3519	50324067	2	11	11	0	0.6875	0	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0.375	0	0	41.3944	50.7675	0	0	0	0	0	0
3520	50324068	2	12	12	0	0.7059	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0.3529	0	0	0	106.4101	0	0	0	0	0	0
3521	50324069	4	16	12	2	0.7222	0.3077	1.2308	2	0.6667	0	2	0	0	2	2	0	0	0	0	0	0	0	0.3333	0	0	77.9161	98.0633	0	0	0	0	0	0
3522	50324070	2	12	12	0	0.6	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0.6	0	0	0	125.6669	0	0	0	0	0	0
3523	50324071	3	17	17	0	0.7727	0	1	3	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0.5455	0	0	58.0735	135.3574	0	0	0	0	0	0
3524	50132717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3525	50324698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3526	50247086	1	6	6	0	0.3333	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.3333	0	0	0	66.0762	0	0	0	0	0	0
3527	50240416	1	6	6	0	0.3333	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0.3333	0	0	0	66.7238	0	0	0	0	0	0
3528	8961	6	18	14	2	0.9333	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	1	0.6667	0	0	0	70.902	0	0	0	78.5808	0	0
3529	50335633	6	18	14	2	0.6364	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	1	0.2727	0	0	0	119.6725	0	0	0	132.7677	0	0
3530	50335634	6	18	14	2	0.6667	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	1	0.2857	0	0	0	111.1627	0	0	0	123.3733	0	0
3531	50335635	4	18	16	1	0.6154	0.125	1.125	2	0.6667	0	0	0	0	0	3	0	0	0	1	0	0	2	0.4615	0	0	0	232.2064	0	0	0	121.3732	0	0
3532	50335637	3	12	10	1	0.4167	0.2	1.2	1	0.5	0	0	0	0	0	2	0	0	0	1	0	0	1	0.25	0	0	0	138.9803	0	0	0	118.259	0	0
3533	10404	12	24	16	4	0.8095	0.4706	1.4118	1	0.25	1	0	0	0	1	2	1	0	2	1	1	1	1	0.2857	0	0	20.8096	60.1387	33.4866	0	85.3636	46.6682	54.8655	60.1397
3534	50336113	7	23	19	2	0.9048	0.2105	1.2105	2	0.5	0	0	0	0	1	3	0	0	1	1	0	0	2	0.5714	0	0	32.615	137.6757	0	0	61.1305	68.8062	0	0
