No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_2	P_VSA_m_4	P_VSA_m_5	P_VSA_e_2	P_VSA_e_3	P_VSA_e_5	P_VSA_p_2	P_VSA_p_3	P_VSA_p_4	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_s_6	P_VSA_ppp_L	P_VSA_ppp_D	P_VSA_ppp_A	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
3838	50359387	0	13.9207	108.7072	54.3896	30.5693	4.6558	0	200.1087	47.0844	0	0	38.1188	119.7342	42.6185	0	200.4715	0	0	114.0934	86.3781	0	86.3781	114.0934	0	0	114.0934	247.1931	86.3781	0	29.236	87.9817	0	83.2538	89.7847	32.8972	53.4809	124.6963	146.241	0	139.6356	32.8972	32.8972	3.1243	50.3566	0	0	59.392	34.6041	152.4063	110.2282	0	4.6558	0	0	0
3839	50359388	0	31.5026	118.1834	81.4314	10.5982	4.6558	0	211.8798	72.2293	0	0	38.9152	130.7295	51.5818	0	221.2265	0	0	115.6124	105.6141	25.1449	130.759	115.6124	0	0	115.6124	284.1092	105.6141	0	30.3262	88.4105	36.0215	91.6132	93.5409	68.9187	61.8403	130.987	126.6987	0	143.3918	58.0421	68.9187	28.2692	33.5711	0	0	66.3337	27.2071	124.0281	147.6472	0	4.6558	4.7046	0	0
3840	8960	21.7661	16.4552	66.3337	30.2784	45.1677	0	0	294.2775	94.2291	0	0	19.5796	113.2769	0	0	132.8565	0	0	129.7321	3.1243	47.1447	50.269	129.7321	0	0	129.7321	388.5067	3.1243	0	41.6323	91.2242	0	47.1447	86.0286	0	50.269	86.3773	116.6557	0	106.4501	46.911	21.9998	28.2692	0	0	0	47.3812	39.6732	193.6289	174.7904	0	15.6203	0	0	0
3841	50359376	0	31.9315	108.7072	63.4206	13.7837	4.6558	0	188.3376	72.2293	0	0	39.344	124.4388	33.5711	0	197.3539	0	0	109.7506	87.6033	25.1449	112.7482	109.7506	0	0	109.7506	260.567	87.6033	0	33.9406	78.9343	18.0108	91.6132	89.7847	50.9079	61.8403	124.6963	150.2576	0	139.6356	58.0421	50.9079	28.2692	33.5711	0	0	40.4395	50.371	146.5445	98.4571	0	4.6558	0	4.7046	0
3842	50359393	16.7928	25.259	85.2862	0	30.1496	57.0238	0	364.9042	81.6265	0	0	33.4068	141.3031	17.0306	0	191.7404	0	0	183.5927	8.1477	10.9999	19.1476	183.5927	0	0	183.5927	446.5307	8.1477	0	41.1619	110.2267	17.0306	34.3211	141.5347	0	19.1476	103.0882	95.6143	0	115.493	40.114	16.0233	3.1243	0	0	23.3212	64.4118	63.8365	290.817	159.7224	17.0145	0	0	0	0
3843	50359395	16.7928	27.7936	85.2862	0	30.1496	57.0238	0	388.4464	81.6265	0	0	35.9413	141.3031	17.0306	0	194.2749	0	0	186.1272	8.1477	10.9999	19.1476	186.1272	0	0	186.1272	470.0729	8.1477	0	43.6964	110.2267	17.0306	34.3211	144.0692	0	19.1476	103.0882	95.6143	0	115.493	40.114	12.899	6.2486	0	0	23.3212	66.9463	63.8365	314.3592	159.7224	17.0145	0	0	0	0
3844	50359391	16.7928	25.259	85.2862	0	30.1496	57.0238	0	364.9042	81.6265	0	0	33.4068	141.3031	17.0306	0	191.7404	0	0	183.5927	8.1477	10.9999	19.1476	183.5927	0	0	183.5927	446.5307	8.1477	0	41.1619	110.2267	17.0306	34.3211	141.5347	0	19.1476	103.0882	95.6143	0	115.493	40.114	12.899	6.2486	0	0	23.3212	64.4118	63.8365	290.817	159.7224	17.0145	0	0	0	0
3845	50359396	16.7928	22.7245	85.2862	0	30.1496	57.0238	0	341.362	81.6265	0	0	30.8722	141.3031	17.0306	0	189.2059	0	0	181.0582	8.1477	10.9999	19.1476	181.0582	0	0	181.0582	422.9885	8.1477	0	38.6274	110.2267	17.0306	34.3211	139.0002	0	19.1476	103.0882	95.6143	0	115.493	40.114	12.899	6.2486	0	0	23.3212	64.4118	61.3019	267.2748	159.7224	17.0145	0	0	0	0
3846	50359397	16.7928	20.19	85.2862	0	30.1496	57.0238	0	329.5909	69.8554	0	0	28.3377	141.3031	17.0306	0	186.6713	0	0	178.5236	8.1477	10.9999	19.1476	178.5236	0	0	178.5236	399.4463	8.1477	0	36.0928	110.2267	17.0306	34.3211	136.4657	0	19.1476	103.0882	95.6143	0	115.493	40.114	12.899	6.2486	0	0	23.3212	64.4118	58.7674	243.7326	159.7224	17.0145	0	0	0	0
3847	50360906	21.7661	21.9158	75.81	100.4557	69.2048	23.5422	0	270.7353	84.0607	0	0	43.135	133.4001	16.7855	32.2195	193.3206	32.2195	0	187.6196	37.9206	72.2896	110.2102	187.6196	0	32.2195	155.4001	354.7961	37.9206	0	71.9487	118.7952	18.0108	89.0752	123.3064	18.0108	92.1995	136.6763	166.9547	0	203.7741	72.056	40.0105	70.1997	0	0	32.2195	28.4287	56.2869	99.2199	233.646	0	15.6203	0	4.7046	0
