No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
2096	50088598	0.4667	0.5953	0.6447	1.2763	0.9044	42.8897	1.1287	0.2711	0.7766	0.0204	0.1598	0.3327	0	0	0.0333	0.8518	0.5304	0.8518	0.0649	0	0.1661	0	-0.5	-0.0132
2097	50088599	0.4675	0.5887	0.641	1.2564	0.946	43.2995	1.1102	0.2638	0.7386	0.0189	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2098	50088600	0.47	0.5816	0.6563	1.2438	0.9395	42.5066	1.0627	0.2584	0.7556	0.0189	0.0975	0.3085	0	0	0.03	0.835	0.5229	0.835	0.0587	0	0.1511	0	-2.75	-0.0688
2099	50088601	0.4647	0.5879	0.6691	1.1838	0.9352	34.3802	1.0112	0.2476	0.7253	0.0213	0.1477	0.3354	0	0	0.0353	0.8588	0.5375	0.8588	0.0504	0	0.1729	0	-5.25	-0.1544
2100	50088602	0.4703	0.5829	0.6351	1.2703	0.8977	40.1081	1.084	0.265	0.7253	0.0196	0.1341	0.3103	0	0	0.0297	0.8351	0.52	0.8351	0.0629	0	0.1509	0	0	0
2101	50088603	0.4711	0.5767	0.6316	1.25	0.9378	40.4633	1.0648	0.2575	0.6873	0.0181	0.1304	0.3017	0	0	0.0289	0.8316	0.5172	0.8316	0.0595	0	0.1475	0	-0.5	-0.0132
2102	50088604	0.4675	0.5887	0.641	1.2564	0.9305	43.1263	1.1058	0.2642	0.7766	0.0199	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2103	50088605	0.4683	0.5827	0.6375	1.2375	0.9712	43.4976	1.0874	0.2572	0.7386	0.0185	0.1512	0.3149	0	0	0.0317	0.8442	0.5244	0.8442	0.0583	0	0.1592	0	-1.5	-0.0375
2104	50088611	0.4707	0.5759	0.6524	1.2256	0.9641	42.736	1.0423	0.2521	0.7556	0.0184	0.095	0.3005	0	0	0.0293	0.8317	0.5202	0.8317	0.0557	0	0.148	0	-3.25	-0.0793
2105	50179309	0.508	0.5717	0.64	1.18	0.9959	17.6342	0.7054	0.2093	0.6606	0.0264	0.105	0.3465	0	0.008	0	0.8	0.5232	0.7808	0.0485	0.0192	0.079	0	-2.5	-0.1
